"Period,Period Label,CommodityProduct,CommodityProduct Label,""Growth rate, year-on-year"",""Growth rate, year-on-year Footnote"",Growth rate (over previous period),Growth rate (over previous period) Footnote,Index Base 2015,Index Base 2015 Footnote"
"1995M07,""Jul. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,2.73807,,59.66,"
"1995M07,""Jul. 1995"",IN0001.09,""Precious metals "",,,-0.62112,,33.6,"
"1995M07,""Jul. 1995"",IN0001.10,""Fuels "",,,-6.71764,,34.16,"
"1995M07,""Jul. 1995"",IN0001.20,""All groups"",,,-3.57527,,44.77,"
"1995M07,""Jul. 1995"",IN0001.22,""All groups excl. fuels"",,,-0.59352,,61.97,"
"1995M07,""Jul. 1995"",IN0001.23,""All groups excl. precious metals"",,,-3.86453,,46.27,"
"1995M07,""Jul. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-0.59848,,74.74,"
"1995M08,""Aug. 1995"",IN0001.01,""All food "",,,-1.66687,,79.64,"
"1995M08,""Aug. 1995"",IN0001.02,""Food "",,,-3.49282,,80.68,"
"1995M08,""Aug. 1995"",IN0001.03,""Tropical beverages"",,,5.32636,,88.59,"
"1995M08,""Aug. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,-2.61114,,72.73,"
"1995M08,""Aug. 1995"",IN0001.05,""Tropical beverages and food "",,,-1.31375,,82.63,"
"1995M08,""Aug. 1995"",IN0001.06,""Agricultural raw materials"",,,2.41829,,92.75,"
"1995M08,""Aug. 1995"",IN0001.07,""Minerals, ores and metals"",,,0.35477,,45.26,"
"1995M08,""Aug. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,0.85484,,60.17,"
"1995M08,""Aug. 1995"",IN0001.09,""Precious metals "",,,-0.35714,,33.48,"
"1995M08,""Aug. 1995"",IN0001.10,""Fuels "",,,2.51756,,35.02,"
"1995M08,""Aug. 1995"",IN0001.20,""All groups"",,,1.04981,,45.24,"
"1995M08,""Aug. 1995"",IN0001.22,""All groups excl. fuels"",,,-0.27433,,61.8,"
"1995M08,""Aug. 1995"",IN0001.23,""All groups excl. precious metals"",,,1.18868,,46.82,"
"1995M08,""Aug. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-0.25421,,74.55,"
"1995M09,""Sep. 1995"",IN0001.01,""All food "",,,-3.3777,,76.95,"
"1995M09,""Sep. 1995"",IN0001.02,""Food "",,,-3.07387,,78.2,"
"1995M09,""Sep. 1995"",IN0001.03,""Tropical beverages"",,,-10.09143,,79.65,"
"1995M09,""Sep. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,0.67372,,73.22,"
"1995M09,""Sep. 1995"",IN0001.05,""Tropical beverages and food "",,,-4.92557,,78.56,"
"1995M09,""Sep. 1995"",IN0001.06,""Agricultural raw materials"",,,-3.48248,,89.52,"
"1995M09,""Sep. 1995"",IN0001.07,""Minerals, ores and metals"",,,-2.16527,,44.28,"
"1995M09,""Sep. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,-3.63969,,57.98,"
"1995M09,""Sep. 1995"",IN0001.09,""Precious metals "",,,-0.08961,,33.45,"
"1995M09,""Sep. 1995"",IN0001.10,""Fuels "",,,2.74129,,35.98,"
"1995M09,""Sep. 1995"",IN0001.20,""All groups"",,,-0.19894,,45.15,"
"1995M09,""Sep. 1995"",IN0001.22,""All groups excl. fuels"",,,-2.89644,,60.01,"
"1995M09,""Sep. 1995"",IN0001.23,""All groups excl. precious metals"",,,-0.21358,,46.72,"
"1995M09,""Sep. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-3.47418,,71.96,"
"1995M10,""Oct. 1995"",IN0001.01,""All food "",,,1.50747,,78.11,"
"1995M10,""Oct. 1995"",IN0001.02,""Food "",,,2.25064,,79.96,"
"1995M10,""Oct. 1995"",IN0001.03,""Tropical beverages"",,,-3.13873,,77.15,"
"1995M10,""Oct. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,3.03196,,75.44,"
"1995M10,""Oct. 1995"",IN0001.05,""Tropical beverages and food "",,,0.90377,,79.27,"
"1995M10,""Oct. 1995"",IN0001.06,""Agricultural raw materials"",,,2.1336,,91.43,"
"1995M10,""Oct. 1995"",IN0001.07,""Minerals, ores and metals"",,,-1.76152,,43.5,"
"1995M10,""Oct. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,-2.82856,,56.34,"
"1995M10,""Oct. 1995"",IN0001.09,""Precious metals "",,,-0.26906,,33.36,"
"1995M10,""Oct. 1995"",IN0001.10,""Fuels "",,,-1.75097,,35.35,"
"1995M10,""Oct. 1995"",IN0001.20,""All groups"",,,-0.75305,,44.81,"
"1995M10,""Oct. 1995"",IN0001.22,""All groups excl. fuels"",,,0.24996,,60.16,"
"1995M10,""Oct. 1995"",IN0001.23,""All groups excl. precious metals"",,,-0.79195,,46.35,"
"1995M10,""Oct. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,0.37521,,72.23,"
"1995M11,""Nov. 1995"",IN0001.01,""All food "",,,-0.43528,,77.77,"
"1995M11,""Nov. 1995"",IN0001.02,""Food "",,,-1.50075,,78.76,"
"1995M11,""Nov. 1995"",IN0001.03,""Tropical beverages"",,,-1.11471,,76.29,"
"1995M11,""Nov. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,1.93531,,76.9,"
"1995M11,""Nov. 1995"",IN0001.05,""Tropical beverages and food "",,,-1.41289,,78.15,"
"1995M11,""Nov. 1995"",IN0001.06,""Agricultural raw materials"",,,6.55146,,97.42,"
"1995M11,""Nov. 1995"",IN0001.07,""Minerals, ores and metals"",,,1.97701,,44.36,"
"1995M11,""Nov. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,3.14164,,58.11,"
"1995M11,""Nov. 1995"",IN0001.09,""Precious metals "",,,0.41966,,33.5,"
"1995M11,""Nov. 1995"",IN0001.10,""Fuels "",,,5.4314,,37.27,"
"1995M11,""Nov. 1995"",IN0001.20,""All groups"",,,3.45905,,46.36,"
"1995M11,""Nov. 1995"",IN0001.22,""All groups excl. fuels"",,,1.5625,,61.1,"
"1995M11,""Nov. 1995"",IN0001.23,""All groups excl. precious metals"",,,3.75405,,48.09,"
"1995M11,""Nov. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,1.79981,,73.53,"
"1995M12,""Dec. 1995"",IN0001.01,""All food "",,,-1.17012,,76.86,"
"1995M12,""Dec. 1995"",IN0001.02,""Food "",,,0.83799,,79.42,"
"1995M12,""Dec. 1995"",IN0001.03,""Tropical beverages"",,,-11.53493,,67.49,"
"1995M12,""Dec. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,1.07932,,77.73,"
"1995M12,""Dec. 1995"",IN0001.05,""Tropical beverages and food "",,,-2.13692,,76.48,"
"1995M12,""Dec. 1995"",IN0001.06,""Agricultural raw materials"",,,-0.53377,,96.9,"
"1995M12,""Dec. 1995"",IN0001.07,""Minerals, ores and metals"",,,-0.1578,,44.29,"
"1995M12,""Dec. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,-0.48184,,57.83,"
"1995M12,""Dec. 1995"",IN0001.09,""Precious metals "",,,0.23881,,33.58,"
"1995M12,""Dec. 1995"",IN0001.10,""Fuels "",,,10.27636,,41.1,"
"1995M12,""Dec. 1995"",IN0001.20,""All groups"",,,4.78861,,48.58,"
"1995M12,""Dec. 1995"",IN0001.22,""All groups excl. fuels"",,,-0.67103,,60.69,"
"1995M12,""Dec. 1995"",IN0001.23,""All groups excl. precious metals"",,,5.19859,,50.59,"
"1995M12,""Dec. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-0.85679,,72.9,"
"1996M01,""Jan. 1996"",IN0001.01,""All food "",-2.98452,,1.92558,,78.34,"
"1996M01,""Jan. 1996"",IN0001.02,""Food "",0.53205,,2.30421,,81.25,"
"1996M01,""Jan. 1996"",IN0001.03,""Tropical beverages"",-25.12295,,6.03052,,71.56,"
"1996M01,""Jan. 1996"",IN0001.04,""Vegetable oilseeds and oils "",6.85596,,-0.74617,,77.15,"
"1996M01,""Jan. 1996"",IN0001.05,""Tropical beverages and food "",-6.6193,,3.11192,,78.86,"
