MEASURE - Metric tons in millions

",YEAR,""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"  Northern America,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",86.36883,91.3018,119.0063,123.7551,126.9477,154.3536,137.445,136.4186,139.6823,147.0186,142.0186,157.0186,173.5,171.6"
"  Northern America,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",436.8455,516.7054000000001,549.4106,498.4981,523.0956,563.9976,626.8079,650.148,640.0473,680.0473,683.4475,706,739.04,786.953"
"  Northern America,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",545.3693,632.8578,692.5225,646.133,675.5296,742.6063,794.9802,820.294,822.7848,878.1211,886.5214,935.996,1035.947,1121.11"
"  Northern America,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",500.962,513.5112,481.2886,445.184,463.4844,413.0394,401.775,356.3,313.3389,289.3389,297.2509,266.05,256.2,234.395"
"  Northern America,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",155.6702,156.0599,138.8701,131.997,135.2078,113.8838,112.092,102.3,102.6611,100.6611,94.80108,74.35611,90.75,88"
"  Northern America,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",492.116,453.1337,414.3273,306.4256,334.9873,368.5546,378.496,431.342,420.2001,429.2001,447.5545,477.904,529,512.004"
"  Northern America,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1148.748,1122.705,1034.486,883.6066,933.6795,895.4779,892.3630000000001,889.942,836.2000000000001,819.2000000000001,839.6064,818.3101,875.9500000000001,834.399"
"  Latin America and the Caribbean,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",251.317,252.2734,234.5828,225.7153,230.9528,253.8289,253.3098,239.9705,232.601,223.476,232.4901,225.194,200.617,204.1997"
"  Latin America and the Caribbean,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",93.87948,90.65286,93.01852,73.97295,73.22512,77.98325,85.94605,69.81025,76.428,83.818,80.91800000000001,71.93080000000001,88.6503,82.2854"
"  Latin America and the Caribbean,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",685.5212,724.1795,780.6256,730.1141,825.3920000000001,901.9305000000001,943.3625,953.877,991.9362,1044.261,1041.266,1066.675,1096.119,1099.824"
"  Latin America and the Caribbean,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1030.718,1067.106,1108.227,1029.802,1129.57,1233.743,1282.618,1263.658,1300.965,1351.555,1354.674,1363.8,1385.387,1386.309"
"  Latin America and the Caribbean,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",71.74847,76.00371,74.2176,64.35082,69.30037,71.08689,74.60005,69.374,65.122,65.76185,51.92085,47.5092,47.0712,47.81846"
"  Latin America and the Caribbean,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",63.50169,64.03505,69.87758,73.55289999999999,76.60199,73.86957,83.57314,89.36788,99.80683999999999,102.1196,128.2344,141.4238,149.2503,138.8032"
