Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days) ,Median time in port (days)  Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",06,""Roll-on/ roll-off ships"",,,10,,59704,,77000,,20203,,28360,,,,,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",07,""Liquefied petroleum gas carriers"",2.3,,6,,33317,,47985,,38113,,55066,,,,,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",00,""All ships"",2.99,,12,,17453,,94511,,24247,,148018,,1665,,8566,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",02,""Liquid bulk carriers"",2.03,,15,,18109,,80637,,29057,,148018,,,,,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",03,""Container ships"",2.97,,12,,18306,,94511,,,,,,1665,,8566,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",04,""Dry breakbulk carriers"",3.11,,10,,10378,,25769,,13945,,37898,,,,,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",05,""Dry bulk carriers"",5.77,,12,,24219,,51225,,41210,,93281,,,,,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",06,""Roll-on/ roll-off ships"",,,14,,30164,,39454,,10038,,12588,,,,,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",07,""Liquefied petroleum gas carriers"",1.05,,16,,5991,,25600,,6359,,28104,,,,,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",00,""All ships"",0.56,,16,,34633,,168666,,10721,,45252,,1120,,2339,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",01,""Passenger ships"",,,18,,73558,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",02,""Liquid bulk carriers"",1.08,,12,,7270,,24996,,11464,,43158,,,,,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",03,""Container ships"",0.51,,11,,11450,,27279,,,,,,1120,,2339,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",04,""Dry breakbulk carriers"",0.54,,19,,8425,,28805,,10363,,45252,,,,,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",05,""Dry bulk carriers"",0.94,,18,,9790,,25769,,14195,,39260,,,,,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",06,""Roll-on/ roll-off ships"",,,15,,29321,,62838,,9313,,21550,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",00,""All ships"",1.27,,15,,21127,,217673,,12517,,180960,,4882,,21237,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",01,""Passenger ships"",,,25,,45462,,155889,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",02,""Liquid bulk carriers"",1.3,,15,,7070,,85496,,11946,,164758,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",03,""Container ships"",1.02,,12,,53883,,217673,,,,,,4882,,21237,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",04,""Dry breakbulk carriers"",1.43,,17,,4974,,71543,,6439,,61860,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",05,""Dry bulk carriers"",3.88,,9,,28598,,94544,,48919,,180960,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",06,""Roll-on/ roll-off ships"",,,14,,34847,,100430,,14092,,55828,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",07,""Liquefied petroleum gas carriers"",1.4,,11,,7607,,48456,,8397,,55076,,,,,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",08,""Liquefied natural gas carriers"",1.18,,6,,67317,,137535,,55054,,122079,,,,,"
"2018A00,""2018"",2018,A,""Annual"",060,""Bermuda"",00,""All ships"",,,14,,101327,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",060,""Bermuda"",01,""Passenger ships"",,,14,,101327,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",00,""All ships"",1.59,,10,,45025,,203483,,66910,,404389,,5746,,11000,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",01,""Passenger ships"",,,29,,26223,,153516,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",02,""Liquid bulk carriers"",1.74,,11,,34607,,170004,,59686,,321300,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",03,""Container ships"",0.81,,8,,62765,,118945,,,,,,5746,,11000,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",04,""Dry breakbulk carriers"",2.45,,13,,24288,,91784,,35873,,116173,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",05,""Dry bulk carriers"",2.67,,8,,48724,,203483,,89866,,404389,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",06,""Roll-on/ roll-off ships"",,,13,,55685,,76299,,19656,,28092,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",07,""Liquefied petroleum gas carriers"",1.66,,9,,11729,,48502,,12983,,58585,,,,,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",08,""Liquefied natural gas carriers"",2.94,,9,,109012,,136740,,81688,,95253,,,,,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",00,""All ships"",0.58,,12,,70104,,165157,,7063,,24426,,573,,1102,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",01,""Passenger ships"",,,12,,101968,,165157,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",02,""Liquid bulk carriers"",1.24,,12,,8172,,15148,,12725,,24426,,,,,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",03,""Container ships"",0.59,,16,,5868,,9990,,,,,,573,,1102,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",04,""Dry breakbulk carriers"",0.53,,11,,4733,,10990,,5931,,13639,,,,,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",00,""All ships"",1.23,,11,,17545,,30110,,27110,,51088,,1507,,2082,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",02,""Liquid bulk carriers"",1.1,,7,,28776,,30110,,47388,,51088,,,,,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",03,""Container ships"",1.11,,7,,17020,,25483,,,,,,1507,,2082,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",04,""Dry breakbulk carriers"",1.7,,16,,11097,,18468,,14593,,23956,,,,,"
"2018A00,""2018"",2018,A,""Annual"",092,""British Virgin Islands"",00,""All ships"",0.57,,27,,29742,,168028,,3925,,16543,,,,,"
"2018A00,""2018"",2018,A,""Annual"",092,""British Virgin Islands"",01,""Passenger ships"",,,18,,67082,,168028,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",092,""British Virgin Islands"",04,""Dry breakbulk carriers"",0.57,,33,,2725,,15549,,3925,,16543,,,,,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",00,""All ships"",0.82,,13,,13342,,72269,,13073,,61498,,1143,,2806,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",01,""Passenger ships"",,,6,,8834,,56769,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",02,""Liquid bulk carriers"",1.1,,10,,4955,,5532,,7183,,9051,,,,,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",03,""Container ships"",0.49,,17,,13142,,32828,,,,,,1143,,2806,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",04,""Dry breakbulk carriers"",1.09,,14,,8174,,23132,,11083,,34000,,,,,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",05,""Dry bulk carriers"",3.43,,12,,17973,,34794,,28848,,61498,,,,,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",06,""Roll-on/ roll-off ships"",,,8,,46683,,72269,,13700,,25353,,,,,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",00,""All ships"",1.95,,22,,10058,,64089,,14494,,116715,,1375,,3534,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",02,""Liquid bulk carriers"",1.58,,21,,13360,,64089,,22747,,116715,,,,,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",03,""Container ships"",0.88,,18,,15282,,35991,,,,,,1375,,3534,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",04,""Dry breakbulk carriers"",2.57,,25,,4064,,23856,,5688,,38165,,,,,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",05,""Dry bulk carriers"",5.27,,15,,19131,,43506,,31367,,82138,,,,,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",06,""Roll-on/ roll-off ships"",,,32,,11776,,36711,,8041,,13088,,,,,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",07,""Liquefied petroleum gas carriers"",1.88,,14,,9568,,17242,,10027,,17667,,,,,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",00,""All ships"",2.99,,16,,18356,,162761,,36947,,308376,,1255,,2190,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",02,""Liquid bulk carriers"",1.95,,10,,31655,,162761,,54259,,308376,,,,,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",03,""Container ships"",2.77,,19,,14676,,25165,,,,,,1255,,2190,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",04,""Dry breakbulk carriers"",4.63,,16,,10107,,23132,,13579,,33217,,,,,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",05,""Dry bulk carriers"",9.07,,11,,25037,,36339,,42847,,63540,,,,,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",06,""Roll-on/ roll-off ships"",,,13,,42812,,53240,,13396,,17386,,,,,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",00,""All ships"",1.03,,12,,16702,,102669,,8453,,22279,,1534,,2339,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",01,""Passenger ships"",,,14,,67665,,102669,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",02,""Liquid bulk carriers"",1.09,,10,,5022,,9366,,7368,,13897,,,,,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",03,""Container ships"",0.89,,12,,16243,,27279,,,,,,1534,,2339,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",04,""Dry breakbulk carriers"",1.35,,16,,8179,,15589,,10233,,22279,,,,,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",00,""All ships"",2.57,,13,,20851,,91498,,24030,,115126,,2791,,8633,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",02,""Liquid bulk carriers"",2.1,,12,,12180,,64321,,19950,,115126,,,,,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",03,""Container ships"",2.13,,14,,29270,,91498,,,,,,2791,,8633,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",04,""Dry breakbulk carriers"",2.07,,15,,9753,,39744,,12001,,64794,,,,,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",05,""Dry bulk carriers"",6.74,,11,,25953,,36467,,43993,,63600,,,,,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",06,""Roll-on/ roll-off ships"",,,13,,49252,,71543,,22406,,46705,,,,,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",07,""Liquefied petroleum gas carriers"",2.52,,4,,7153,,8319,,7937,,9011,,,,,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",00,""All ships"",0.65,,24,,14037,,168666,,35138,,319547,,5185,,14568,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",01,""Passenger ships"",,,27,,8948,,168666,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",02,""Liquid bulk carriers"",1.12,,11,,22294,,161367,,37213,,319547,,,,,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",03,""Container ships"",1.49,,12,,57740,,154300,,,,,,5185,,14568,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",04,""Dry breakbulk carriers"",0.28,,9,,10014,,37499,,12623,,61860,,,,,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",05,""Dry bulk carriers"",0.32,,23,,27302,,108237,,46973,,209935,,,,,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",06,""Roll-on/ roll-off ships"",,,24,,14882,,100430,,7767,,55828,,,,,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",00,""All ships"",0.83,,36,,4334,,160987,,14228,,319063,,870,,1827,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",01,""Passenger ships"",,,46,,2202,,137936,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",02,""Liquid bulk carriers"",0.88,,10,,5031,,160987,,8154,,319063,,,,,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",03,""Container ships"",0.95,,17,,9499,,20842,,,,,,870,,1827,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",04,""Dry breakbulk carriers"",0.7,,23,,4979,,21265,,6397,,33173,,,,,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",05,""Dry bulk carriers"",0.53,,12,,27721,,107666,,47918,,209113,,,,,"
"2018A00,""2018"",2018,A,""Annual"",132,""Cabo Verde"",07,""Liquefied petroleum gas carriers"",0.65,,6,,17581,,25144,,20141,,28500,,,,,"
"2018A00,""2018"",2018,A,""Annual"",136,""Cayman Islands"",00,""All ships"",0.55,,14,,78046,,227700,,15056,,320701,,,,,"
"2018A00,""2018"",2018,A,""Annual"",136,""Cayman Islands"",01,""Passenger ships"",,,14,,102470,,227700,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",136,""Cayman Islands"",02,""Liquid bulk carriers"",0.61,,11,,29607,,167578,,50829,,320701,,,,,"
