iter	Passed	Remaining
615	4739	2954
616	4746	2946
617	4752	2937
618	4762	2931
619	4770	2923
620	4779	2916
621	4786	2908
622	4795	2901
623	4803	2894
624	4812	2887
625	4819	2879
626	4827	2871
627	4833	2863
628	4840	2854
629	4847	2846
630	4853	2838
631	4860	2830
632	4867	2822
633	4876	2814
634	4882	2806
635	4889	2798
636	4897	2790
637	4904	2782
638	4911	2774
639	4918	2766
640	4926	2758
641	4932	2750
642	4944	2745
643	4952	2737
644	4962	2731
645	4973	2725
646	4981	2718
647	4991	2711
648	5000	2704
649	5007	2696
650	5015	2688
651	5021	2680
652	5028	2672
653	5035	2664
654	5042	2655
655	5049	2648
656	5056	2639
657	5065	2633
658	5072	2624
659	5079	2616
660	5086	2608
661	5093	2600
662	5100	2592
663	5107	2584
664	5117	2578
665	5125	2570
666	5133	2563
667	5142	2555
668	5149	2547
669	5157	2540
670	5167	2533
671	5177	2526
672	5184	2518
673	5192	2511
674	5198	2503
675	5206	2495
676	5213	2487
677	5221	2479
678	5228	2471
679	5235	2463
680	5242	2455
681	5250	2447
682	5256	2439
683	5263	2431
684	5273	2424
685	5282	2417
686	5297	2413
687	5318	2411
688	5334	2407
689	5349	2403
690	5363	2398
691	5372	2391
692	5381	2384
693	5389	2376
694	5398	2369
695	5409	2362
696	5418	2355
697	5429	2348
698	5436	2341
699	5444	2333
700	5451	2325
701	5460	2317
702	5467	2309
703	5476	2302
704	5486	2295
705	5495	2288
706	5505	2281
707	5514	2274
708	5524	2267
709	5531	2259
710	5540	2251
711	5547	2244
712	5556	2236
713	5563	2228
714	5571	2220
715	5578	2212
716	5588	2205
717	5596	2198
718	5605	2190
719	5612	2182
720	5619	2174
721	5626	2166
722	5633	2158
723	5640	2150
724	5654	2144
725	5664	2137
726	5671	2129
727	5680	2122
728	5687	2114
729	5696	2107
730	5704	2099
731	5713	2091
732	5721	2084
733	5730	2076
734	5737	2068
735	5746	2061
736	5753	2052
737	5760	2044
738	5767	2036
739	5774	2029
740	5782	2021
741	5789	2013
742	5797	2005
743	5804	1997
744	5811	1989
745	5819	1981
746	5830	1974
747	5842	1968
748	5851	1960
749	5859	1953
750	5868	1945
751	5876	1937
752	5885	1930
753	5893	1922
754	5903	1915
755	5912	1908
756	5920	1900
757	5927	1892
758	5938	1885
759	5948	1878
760	5955	1870
761	5963	1862
762	5969	1854
763	5979	1846
